inventory_id,extension,functional_area,priority,sensitivity,action
SRC-000002,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000003,.pptx,Roles,medium,internal-source,Convert to sanitized reference note.
SRC-000004,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000005,.docx,Onboarding,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000006,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000007,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000008,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000009,.xlsx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000010,.docx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000011,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000012,.docx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000013,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000014,.xlsx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000015,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000016,.pptx,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000017,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000018,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000019,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000020,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000021,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000022,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000023,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000024,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000025,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000026,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000027,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000028,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000029,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000030,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000031,.pptx,Compass Evening,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000032,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000033,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000034,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000035,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000036,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000037,.mp4,Rite of passage,high,internal-source,Catalogue and review for future use.
SRC-000038,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000039,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000040,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000041,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000042,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000043,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000044,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000045,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000046,.pdf,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000047,.xlsx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000048,.jpeg,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000049,.jpeg,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000051,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000052,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000053,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000054,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000055,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000056,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000057,.xlsx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000058,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000059,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000060,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000061,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000062,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000063,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000064,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000065,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000066,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000067,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000068,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000069,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000070,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000071,.xlsx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000072,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000073,.pdf,Compass Evening,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000074,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000075,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000076,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000077,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000079,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000080,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000081,.pptx,Roles,medium,internal-source,Convert to sanitized reference note.
SRC-000082,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000083,.docx,Onboarding,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000084,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000085,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000086,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000087,.xlsx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000088,.docx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000089,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000090,.docx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000091,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000092,.xlsx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000093,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000094,.pptx,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000095,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000096,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000097,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000098,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000099,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000100,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000101,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000102,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000103,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000104,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000105,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000106,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000107,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000108,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000109,.pptx,Compass Evening,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000110,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000111,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000112,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000113,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000114,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000115,.mp4,Rite of passage,high,internal-source,Catalogue and review for future use.
SRC-000116,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000117,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000118,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000119,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000120,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000121,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000122,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000123,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000124,.pdf,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000125,.xlsx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000126,.jpeg,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000127,.jpeg,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000128,.docx,Onboarding,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000129,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000130,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000131,.xlsx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000132,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000133,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000134,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000135,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000136,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000137,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000138,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000139,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000140,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000141,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000142,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000143,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000144,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000145,.docx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000146,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000147,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000148,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000149,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000150,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000151,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000152,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000153,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000154,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000155,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000156,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000157,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000158,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000159,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000160,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000161,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000162,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000163,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000167,.pdf,Media,medium,internal-source,Convert to sanitized reference note.
SRC-000168,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000170,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000171,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000172,.xlsx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000173,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000174,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000175,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000176,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000177,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000178,.pptx,Weekly sessions,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000179,,Weekly sessions,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000180,.docx,Weekly sessions,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000181,,Kickoff camp,high,internal-source,Catalogue and review for future use.
SRC-000182,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000183,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000184,.pptx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000185,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000186,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000187,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000188,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000189,,Kickoff camp,high,internal-source,Catalogue and review for future use.
SRC-000190,.xls,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000191,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000192,.pptx,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000193,.pptx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000194,.pptx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000195,.pdf,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000196,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000197,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000198,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000199,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000200,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000201,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000202,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000203,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000204,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000205,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000206,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000207,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000208,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000209,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000210,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000211,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000212,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000213,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000214,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000215,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000216,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000217,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000218,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000219,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000220,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000221,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000222,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000223,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000224,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000225,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000226,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000227,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000228,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000229,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000230,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000231,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000232,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000233,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000234,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000235,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000236,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000237,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000238,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000239,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000240,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000241,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000242,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000243,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000244,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000245,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000246,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000247,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000248,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000249,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000250,,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000251,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000252,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000253,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000254,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000255,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000256,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000258,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000259,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000260,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000261,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000262,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000263,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000264,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000265,,Weekly sessions,high,internal-source,Catalogue and review for future use.
SRC-000266,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000267,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000268,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000269,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000270,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000271,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000272,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000273,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000274,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
