duplicate_group_id,sha256,inventory_ids,file_count
DUP-6C4EA06C75,f8714a2448796aa773e6ba4b89c0a135997235caff8b7a041e209b1da9eaa158,SRC-000003;SRC-000081;SRC-000332,3
DUP-001E6F9CF1,562f7d3710aab2b5b19d82c854fccf295a24380492cc14f199b4cb0de32f3663,SRC-000004;SRC-000082;SRC-000333,3
DUP-BECFFA26E8,fe5594fccce08365ad0a1b1a5226d707d1f6eceb0ee07c72821879ff7bd5e184,SRC-000005;SRC-000083;SRC-000334,3
DUP-45CD2A77A5,3852ec17cc412b7176fa76d3f539054c477d76ec8995fdddac49a87644eddb0a,SRC-000006;SRC-000084;SRC-000335,3
DUP-357DBF72F8,3809127e0a39f3edc870e88926e95cd31b57f3e69e75c17ad81484bb0abefb0d,SRC-000007;SRC-000085;SRC-000336,3
DUP-90093BF46F,9209cf618345309a8b952601593abf1daa92aa79baa84acedd945cb1e864e66e,SRC-000008;SRC-000086;SRC-000337,3
DUP-33A9D6B638,78ad887d9b73d94d84c41410f5124620a10b4225235202dc0e8f2c860cd6d993,SRC-000010;SRC-000088;SRC-000339,3
DUP-9E130908F6,22fce663ddd5a8c3c21e8ec961eca7392ace9b1f4b6d34d20f45d8d2bab8aa31,SRC-000011;SRC-000089;SRC-000340,3
DUP-B35FBC5045,897bc61b734f1ca55ec8e27b01f8c49258248e3b5d798fd4c58b1698cd5437f4,SRC-000012;SRC-000090;SRC-000341,3
DUP-D95C11E28C,d602a006df393326c70c3b8020b91a6d6a4a447eba7d21c4956826b651996794,SRC-000013;SRC-000091;SRC-000342,3
DUP-996C4B2002,ebbddbdceccdc266eb84d62b4e164a1ec7f0d3f8e13e1c28bde3290d4c500b6e,SRC-000014;SRC-000092;SRC-000343,3
DUP-352280599B,a7c2c2ccb575ea08a873c3be65ae23f6fd0cfcd5da764a151e745be896841730,SRC-000015;SRC-000093;SRC-000344,3
DUP-1CDB463189,f5f3575864b65255015cc921c57c08ba4b3252a495a53d8ddb3f2dc3af45a774,SRC-000016;SRC-000094;SRC-000345,3
DUP-6BC72838E9,cf104ecd681de97ed288d83ab5b96665d3054584039f67547d8946f49e8c16d1,SRC-000017;SRC-000095;SRC-000346,3
DUP-3E3E5BF1BD,933b120d19b9f422f7cc0a60cbf6719bfef2b88a9f63de1d9c5e9f5ad46ae4e4,SRC-000018;SRC-000096;SRC-000347,3
DUP-7CD46AADB4,ea1b55b1ce562689d63ff3ecd94f68d548f4dfa545f1de24c352aa252772429e,SRC-000019;SRC-000020;SRC-000097;SRC-000098;SRC-000348;SRC-000349,6
DUP-AA16A5CE5C,ca6e234134a12c1fac23152c7c899b391106f56f0b917e4bfa668122849a5c49,SRC-000021;SRC-000099;SRC-000350,3
DUP-008014A424,5e36d9efcba0301876eee79adff1f8dc935a40169f840613efda5298008ddde1,SRC-000022;SRC-000100;SRC-000351,3
DUP-DED995E295,df2250690c4f401750b36e45176e910e26407aa144d5979d3ef7eb6dbaed62dc,SRC-000023;SRC-000101;SRC-000352,3
DUP-3C7929F658,0bebf884a35810b6366bd73e30536c65e17ea356266f7b79f541bf9d8821fe14,SRC-000024;SRC-000102;SRC-000353,3
DUP-85403EBCE9,a4d91763616c677c43345ed6fc7289319516a746d4e19c773d841a6c3ba0382d,SRC-000025;SRC-000103;SRC-000354,3
DUP-29CB485BE9,db5b376761ce72081fe6c0ea261a7e6e83a530d372c424ccee7d7e458275c6f0,SRC-000027;SRC-000105;SRC-000356,3
DUP-A0169D5BC6,e2ef0aab30d8982fe50ed8848e45d763521b71882d5215c6443e568e9b49acd4,SRC-000028;SRC-000106;SRC-000357,3
DUP-9665BAB107,783affa86aaca6b944362dd76a1d46207601f9d743773c831b4fcd76739ab4ce,SRC-000029;SRC-000107;SRC-000358,3
DUP-31A003121C,226fe4d7e911eeb09f3fef9f3cd42173c35ee2d7cbfc37b26edc4de6f5d962d9,SRC-000030;SRC-000108;SRC-000359,3
DUP-4088B1EE99,a715f09c4cfcca4dd4b24241ce916751818b7faaa69bbd9e3ff6628365ad1052,SRC-000031;SRC-000109;SRC-000360,3
DUP-A4623236E2,3b14b10215afcc575f366e66b98ac169f391e49063ded5ac84ce842568215638,SRC-000032;SRC-000110;SRC-000361,3
DUP-AD1C94F297,0305fba183c0f24b1563e61c9552ea38439abd02fcfd2c1eafe99f1d5470f512,SRC-000033;SRC-000111;SRC-000362,3
DUP-E5A9865F3E,b813b74f64ac80d23d7e784babe2678820d54b95e16441df2e2971aea052f5cd,SRC-000034;SRC-000112;SRC-000363,3
DUP-A38D70D385,3880b9d35aec115b660cab5e79840652797d4b54344c85bea6d18528b61ad6e7,SRC-000035;SRC-000113;SRC-000364,3
DUP-00ACD78972,7e2db174d69b34a6e2e6b963a9f60edae9a0dc70defbc6ed85c18c9c69429469,SRC-000037;SRC-000115;SRC-000366,3
DUP-663F609604,f36731454cf9776da410f285d7e135789caaa36558eaa06e4656ae44a9d73ba7,SRC-000038;SRC-000116;SRC-000367,3
DUP-CC595AC063,129735f64b921e600eccdecc834704956b957f1d21fbc151455bbf5a720a113b,SRC-000039;SRC-000117;SRC-000368,3
DUP-4D41F26169,84ced86fb44d8088744a2dea735e3b6f91b8c77d80e2557092e956994ccc2ddf,SRC-000041;SRC-000119;SRC-000370,3
DUP-A2E1B8C278,9d156660682434c0fe9755d04ecceabb0d36b539d8d0e606c32007e2216e8edc,SRC-000042;SRC-000120;SRC-000371,3
DUP-800D60282D,b33e9fede4f7292f001b89a3764131883023838ccbb0ae59a9153408b0a84d73,SRC-000043;SRC-000121;SRC-000372,3
DUP-58CDB21CBA,a69a683ca2a100890c6b3cabc60316d94cf0d71379afda79b5d15818aa83df29,SRC-000044;SRC-000122;SRC-000373,3
DUP-A0B919B640,b40e3b0a041a1ad217940e338121a9d463954fbe008f27ac34984ac43316808b,SRC-000045;SRC-000123;SRC-000374,3
DUP-C9AFD2246D,eb806eeaa1827094ee6fea446668750b2afaacb25a9aa26aa86b5b27705c3ebd,SRC-000046;SRC-000124;SRC-000375,3
DUP-FFDCBC3657,c5f402357e3dcdb649ad64a9055840159df58a8c07bbfddacba86b5f6795a952,SRC-000048;SRC-000126;SRC-000377,3
DUP-D3A8C8A869,77304b548b12d7479820c8de13003b6953abfd365a6e88d19935634633fa1d51,SRC-000049;SRC-000127;SRC-000378,3
DUP-76E73A68F9,c2c3bb8ec297dae9e43e5eb6bc10ec242de00a06153d5d81142278af86b91081,SRC-000052;SRC-000304,2
DUP-AA9C3900C7,8fd5547ee4303b31cefb65161c98b1fa96d499b305edb8fdb35bcf19321ecaa8,SRC-000053;SRC-000305,2
DUP-6A30E4F4CD,aa6903556b59cff65700c5c17c3cad8bc92082ae52d226b18bb4220a94e0a166,SRC-000054;SRC-000306,2
DUP-1D8D47EE64,fcb99b262f1aa005fe5d2e90fa310ee3cd62c5bbce39380835444b3b98026960,SRC-000055;SRC-000307,2
DUP-9EFB3B7CC6,4021d6401ebd7624c2b0d554008f212356a0f8b01b1d1f3241fb6150d9cb63af,SRC-000056;SRC-000308,2
DUP-5669962C72,9c944eddd532c72323db964c66622df69ec3d6220eec5d01001b28f2c0c3b049,SRC-000057;SRC-000309,2
DUP-C7DCA093CD,8df999d3ecf5714d9a4dded52cbcd3316ff3873a50c4dac18b3b7c14d69f3d69,SRC-000058;SRC-000310,2
DUP-A198638A60,d8542c9e0097aa5ab3ff969ee0780dd787cd1ebbdcb74249dd38a2ddfa25d6bc,SRC-000059;SRC-000297;SRC-000311;SRC-000548,4
DUP-2E97F338F4,638c0bb3f2297bde7398352a5b4935d15c7fb02e04967f05d7b576bbdd694b8b,SRC-000060;SRC-000312,2
DUP-48BA398E87,1eee6bea83f9febf59a6bc45d2807828a606cd8d6004793548909f2ca9527370,SRC-000061;SRC-000313,2
DUP-E87E85D58C,7c591f7626e0900dbec1f7ed9687df499c48252acc85b89d1c3301c794b98922,SRC-000062;SRC-000314,2
DUP-93458948E6,5996e99d6a10b7698da6db100b2bd83eb207a9eaed0a6aa6b8989a822d36af56,SRC-000063;SRC-000315,2
DUP-E4BC22F112,c41d0a3b1379cd878fbcb64b64c8adb88314c9791ae3497d7bbd0f96aba3ed9b,SRC-000064;SRC-000316,2
DUP-4F279F1AAD,efdab208a6aca855ac57d52cfbdb10932060f58e1f619661d70f50a3ecb65938,SRC-000065;SRC-000317,2
DUP-CD2720860D,2e3ad3a03da935cf41c913ad08bb9f9c26b990b7e61cbb4a647ddbf610b13263,SRC-000066;SRC-000318,2
DUP-B7BF46ADB1,0367108be31f35e80218d70d687f6904a1a8f948bd81dc28ff3eb8084cca6783,SRC-000067;SRC-000319,2
DUP-3E939E67CB,40552abba590b57515249c30d7cf256833dfaf822ed07831a0b62618278fd097,SRC-000068;SRC-000320,2
DUP-A4B977F733,cef196b4a3bbbdb7b87c48ce862cacc751e341d97353cb9dcdb659a29789455a,SRC-000069;SRC-000321,2
DUP-E1323A7DE0,180baba2170b487c7288b055d1bda0f650674e954f7f5bb02483e27900028c89,SRC-000070;SRC-000322,2
DUP-4BD65FB8BC,744e36667b4fd59d9d7307bc087b76933659b01df0cc05387962d42ac90e23c0,SRC-000071;SRC-000323,2
DUP-6D11A57CB6,e4538b667c7d73ac15d65ccb8db1069d34066bd6585647a5094c81748f9849d4,SRC-000072;SRC-000324,2
DUP-34E8B19D2D,b9ea4361fecca0706d9118cba9143abc6bd620c43cf7c0e65289ad8e36b562e8,SRC-000073;SRC-000325,2
DUP-5094141ED0,1f03e6d5caaeb0443a1d4352cb4f5a980e7632b74ac557085106484f15ce5941,SRC-000074;SRC-000326,2
DUP-B6CBE5169D,bda844ffc9ea33da64747fdb12cae656b06e980d6e68b2b21c46ee7eb7931a8d,SRC-000075;SRC-000327,2
DUP-F0EFE668E7,617f793b04bfb0aaa36e9f2ccf074d169dfe103b8d99ea63e42a59b180025b7c,SRC-000076;SRC-000328,2
DUP-88288CAEAA,878510f6ad12f4af7ef10c19f0c1f7f45489291ca96e1cf97022baa731a15b63,SRC-000077;SRC-000329,2
DUP-9A0383F2C4,6d624d83b5a22dc755480bd27528eac1215adc2c7ce1627320e741f93a842425,SRC-000128;SRC-000379,2
DUP-48EABB0481,6edd02c9097a0c94a86ec84f5d58ff7621a102f26f06126b32bda18b4362113c,SRC-000129;SRC-000380,2
DUP-DBDDB51B83,a14a7de40468a15599207093474e654a625d4664f4dd0fa50dcd4698c813088c,SRC-000130;SRC-000381,2
DUP-BAF6594A83,33d394f0e4cae075f3763fa50df036e5708a83435719dbb9ce9bebe8cd7a9b0d,SRC-000132;SRC-000383,2
DUP-25223F99DC,5672f77f26cb9a8ab3dc5bfb43713fd91e2c9c0ab7117eb31d00e25456e0fe44,SRC-000133;SRC-000384,2
DUP-D6C474A286,576a94b83654587b9bf9040a94e226060b79fa20aeb8c9a3e32c5bcf1a575174,SRC-000134;SRC-000385,2
DUP-6460B97770,67f6be2ac2b0d0645d9f932e8cdf6d9a7bee601c457a667f4f6fab439c5cf089,SRC-000135;SRC-000138;SRC-000386;SRC-000389,4
DUP-E0644E1F89,1b7c36a07fca086f06ed746ec448dbddc8b4eac738b4e21c1ce6841cf23371e6,SRC-000136;SRC-000387,2
DUP-4230D61884,f1153c11067daf398d3f4ffda687ab5f60385c9f6f3ae22b652589bdabc16586,SRC-000137;SRC-000388,2
DUP-08E6427D96,e1eb13f9b54d626c6064e60bf9069d4e21dfc6abb9a222c12d23a994e96563bf,SRC-000139;SRC-000390,2
DUP-606FA01BE0,71dc2fbc9a30640292af52284772273e23654dfc4ef88b07bf34d8738fd0aa0f,SRC-000140;SRC-000391,2
DUP-690C963B38,fac7411febf2247bf65eb85f4bb61b66d2d0c624ada7bcd9f91eae976c3d885b,SRC-000141;SRC-000392,2
DUP-6EEDBFC256,9541aeb64cfa7b93b402611121bf8dddbf294db6a0743b1dc8ab54a03e9d041f,SRC-000142;SRC-000393,2
DUP-720648DC14,1b6bb8464f7997d313e525259122892608eb99742128c5bf7d37101af1830ec5,SRC-000143;SRC-000394,2
DUP-70DD91CEC0,d8dbdf4ea67d89358688cf610dc2570ae7cd3c93877caa88a276586718c15b52,SRC-000144;SRC-000395,2
DUP-7306041E4A,1870faa46a408e1cb3cca1a05b9f5ab0a49db31f8f898bb7308b468de51ed6b8,SRC-000145;SRC-000396,2
DUP-C072ECDF22,3e025de2ea4cb0190dfc7b7f71f179902a502cf033155c83e1cfbb8a25efcbe9,SRC-000146;SRC-000397,2
DUP-7E05020A1E,999898ae800dfb74bd8023e8a6c93c71827dceafc81ee09c1265e4d7b378e573,SRC-000147;SRC-000398,2
DUP-5E8C080D33,d90dc264636d75f6c97fa130f7f523c4b86b16d456de7ddcb0a248cdf98b9e07,SRC-000148;SRC-000399,2
DUP-9A1DBE4C4F,89bf97fe867c85c59c23cb54645a8baf3816bd23f316d8fed5516425fad47532,SRC-000149;SRC-000400,2
DUP-77EC205144,e9b5c4c5dce979c1c775b5781bc23f2a334037f1e7e962c60f959d5dfd661b4e,SRC-000150;SRC-000401,2
DUP-C99712ED4B,bf61b365c9e5507a46d280334ae9079671688a452e0efd3353fae9ac5a0216c8,SRC-000151;SRC-000402,2
DUP-CD1707A291,e58494057c430449dc40b0fed27ccf290db767fed75eaca849a19a2f33f3f126,SRC-000152;SRC-000403,2
DUP-FA54978431,19fb1b3b40f8cd7de1cc6351a40280aeb272086085e80f2e93444d79a25e8757,SRC-000153;SRC-000404,2
DUP-DFBEB8491C,aa0f6bf9a6f8543e85ed77e2ff6eddfcff03091359fbdc7cc32ff14e4290f7d0,SRC-000154;SRC-000405,2
DUP-DCA6EB4C32,04925841571ea4e8c385e714f69fd98d0e397f18c57f4c6c13b39fc2113b227e,SRC-000155;SRC-000406,2
DUP-6C12093A32,f608a49c2b6e1a82d25c0349bda42ff5676822de867f74dd911cfafa421da52c,SRC-000156;SRC-000407,2
DUP-9D2F38D8E1,e9ede80754ecf7caaf76a0e9e77c013d1f5bca1befe5d478b36e9044ed129b5a,SRC-000157;SRC-000408,2
DUP-590433933F,9aa6388d86d3e12ae513ebf299752f6a608e531d98681712096bdd9ea873e0be,SRC-000158;SRC-000409,2
DUP-568BAACCB1,514195ffef9bd6aa8723d8006ade8c85dfea0da11f7da0134923509d66808ae7,SRC-000159;SRC-000410,2
DUP-19EE40C185,9c029759a376c1a3d7efed8697f900cd28424862180973f12549eb023f653576,SRC-000160;SRC-000411,2
DUP-110546019C,cdd2ba39b2778fef237917f929497b4a24f291f1b175fe58d5f198ef7813fcdc,SRC-000161;SRC-000412,2
DUP-D7429DFE65,93ff9d0a655b1eeec0e50a8a10acd201256fc41326969d55658748a177125169,SRC-000163;SRC-000414,2
DUP-2B04C215F6,747c8f5d0942ef08e8a7782a9c018bbebc0b3f535b16bf2179521f45c9f808d1,SRC-000164;SRC-000415,2
DUP-302C480DCB,aa001b7ad1c7eb13b70236c5dd836405e8060f5ffc73f6a03bccc5377edc5230,SRC-000165;SRC-000416,2
DUP-8E3F94DA6F,961ea8cb8f6485815395bbc277bb179bbd8a375698cda2a3f4914303c8d3c83b,SRC-000166;SRC-000417,2
DUP-95301353D1,35d09ba84f0f0323b2ad18b00b33d8e9c07417a258c266f77930a8e419657e25,SRC-000167;SRC-000418,2
DUP-B4FB1C3BF7,de239d893ea5f2f44616bccf99424d11f503634762fc29283985af4dc5683dd8,SRC-000168;SRC-000419,2
DUP-14026453E9,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,SRC-000169;SRC-000179;SRC-000420;SRC-000430,4
DUP-A89CFA2263,fa12481a1f834bbba8e305dccec57f55ea2c6af60055333215f71f2ec80092ed,SRC-000170;SRC-000421,2
DUP-6D6A1AA3A0,ffb5f14900f402259292962e0fef6f1ee698ae875e23e7b9037de9a9235b6f0a,SRC-000171;SRC-000422,2
