Agenda ID,Schedule ID,Gate(s),Sequence,Meeting checkpoint,Purpose / prompt,Required evidence to open item,Decision boundary,Output to record,Facilitator role,Agenda status,Timebox minutes,Notes
AG-001,SCHED-001,GATE-001; GATE-002; GATE-003; GATE-004; GATE-005; GATE-006,1,Confirm gate map,Walk the six open gates and confirm everyone understands what proof is required before any gate can close.,Launch Gates; Gate Evidence Checklist; NEXT-30-DAYS.md,Orientation only; no gate status changes.,Shared gate sequence and evidence boundaries.,Journey Lead,Pending session,15,Start here before assigning dates or reviewers.
AG-002,SCHED-001,All gates,2,Confirm privacy boundaries,Agree which information must stay out of shared trackers and which artifacts are safe for role-only coordination.,"Privacy rules in Leadership Review Schedule, Outputs and HUMAN-REVIEW-REQUIRED.md","Do not copy private names, contact details, participant data, medical details or financial account data.",Privacy boundary summary for the review cycle.,Knowledge Management Lead,Pending session,10,"Use role names, not personal details."
AG-003,SCHED-001,All gates,3,Set review order,"Confirm the order for owner, governance, reviewer assignment, pilot, data, access and publication sessions.",Leadership Review Schedule; Leadership Review Outputs,May choose order and roles only; dates and approvals remain pending until recorded.,Agreed review order and next-session owners.,Journey Lead,Pending session,15,Record output in OUT-001.
AG-004,SCHED-002,GATE-001,1,Confirm source review path,Confirm who may inspect private source evidence for owner nominations without copying source names into the shared tracker.,Owner Evidence Review; Owner Appointment and Authority Packet,No names move to Leader Roster until programme-owner confirmation.,Authorized owner-evidence review path.,Journey Lead,Pending session,10,Use role-only notes in shared surfaces.
AG-005,SCHED-002,GATE-001,2,Nominate role candidates,Identify candidate owner roles and backup coverage gaps for each required Journey role.,Owner Appointment Routing; Leader Roster,Candidate names require approved fields and authority confirmation.,Candidate nomination and backup gap summary.,Journey Lead,Pending session,25,Record detailed names only in authorized locations.
AG-006,SCHED-002,GATE-001,3,Route roster updates,Decide which routing rows are ready for programme-owner confirmation and which need more evidence.,Owner Appointment Routing; Gate Evidence Checklist EVID-001 through EVID-003,Do not mark GATE-001 complete from this meeting alone.,Owner-routing updates and unresolved gaps.,Journey Lead,Pending session,15,Record output in OUT-002.
AG-007,SCHED-003,GATE-001; GATE-002,1,Confirm final authority scope,"Review proposed final authority roles, operating owner roles and escalation paths.",Governance Authority Review; DEC-003; Human Review HR-005,Authority remains draft until programme governance authority records approval.,Authority decisions or required changes.,Oversight Lead,Pending session,20,Prepares HR-005 only.
AG-008,SCHED-003,GATE-001; GATE-002,2,Resolve escalation gaps,"Identify any missing escalation owner, approval role or condition that would block role authority.",Governance Authority Review; Decisions,May record gaps and required changes only.,Escalation gaps or acceptance conditions.,Oversight Lead,Pending session,20,Do not close HR-005 unless authorized reviewer completes sign-off.
AG-009,SCHED-003,GATE-001; GATE-002,3,Route authority evidence,Decide which evidence rows or decisions need updating after the authority discussion.,Gate Evidence Checklist EVID-003 and EVID-008; Leadership Review Outputs OUT-003,Evidence can be linked; approval still requires authorized sign-off.,Evidence routing action list.,Knowledge Management Lead,Pending session,10,Record output in OUT-003.
AG-010,SCHED-004,GATE-002,1,Assign reviewer roles,Confirm qualified reviewer role needed for HR-001 through HR-007 and whether a reviewer has authority to sign off.,Human Review Routing; HUMAN-REVIEW-REQUIRED.md; review packet folder,Do not record private reviewer contact details in shared tracker.,Reviewer role assignments and packet routing status.,Oversight Lead,Pending session,25,Names require authorized entry.
AG-011,SCHED-004,GATE-002,2,Set review due sequence,"Confirm which review gates must be completed before pilot, real-data replacement, access decision or production publication.",Human Review; Launch Gates; Website Publication Gate Checklist,Can define dependencies only; review decisions remain open.,Review dependency order and target-due placeholders.,Oversight Lead,Pending session,15,Use the routing tab before Human Review sign-off fields.
AG-012,SCHED-004,GATE-002,3,Route packet evidence,"Confirm packet links, outcome evidence fields and conditions fields are ready for qualified reviewers.",Human Review!H4:N11; review packet folder; Gate Evidence Checklist EVID-004 through EVID-010,Packet readiness is not final approval.,Packet routing updates and unresolved reviewer gaps.,Knowledge Management Lead,Pending session,10,Record output in OUT-004.
AG-013,SCHED-005,GATE-003,1,Confirm pilot scope,"Define the smallest leadership-team pilot that can test the packs, trackers and decision flow.",Pilot Cycle Plan; Pilot Run Sheet and Debrief Packet,Planning only; pilot has not run.,Pilot scope and boundaries.,Journey Lead,Pending session,20,Keep participant/private data out of the plan.
AG-014,SCHED-005,GATE-003,2,Confirm pilot evidence,"Agree what observations must be logged to prove the pilot found unclear steps, duplicated work, missing resources and unnecessary fields.",Pilot Log; Gate Evidence Checklist EVID-011 through EVID-014,"Do not log participant, medical, financial or private personal data.",Pilot evidence rules and log categories.,Knowledge Management Lead,Pending session,15,Record output in OUT-005.
AG-015,SCHED-005,GATE-003,3,Confirm readiness threshold,Decide which minimum preflight checks must be complete before the pilot can be run.,Pilot Cycle Plan PIL-001 through PIL-003; Event Readiness,Readiness threshold may be recorded; pilot remains pending until actually run.,Pilot preflight threshold and blockers.,Journey Lead,Pending session,10,Do not mark GATE-003 complete.
AG-016,SCHED-006,GATE-003,1,Review pilot observations,Review logged pilot observations and distinguish process issues from content or approval issues.,Pilot Log; Pilot Cycle Plan PIL-004 through PIL-009,Cannot run until a real pilot has produced observations.,Categorized pilot observations.,Journey Lead,Waiting for pilot run,25,Do not invent pilot evidence.
AG-017,SCHED-006,GATE-003,2,Approve change routing,"Decide which pilot changes are accepted, require review, or should be deferred.",Pilot Cycle Plan PIL-010 through PIL-012; Leadership Review Outputs OUT-006,Only approved process changes may update templates; content approvals still require review gates.,"Accepted, review-required and deferred changes.",Oversight Lead,Waiting for pilot run,20,Record output in OUT-006 after pilot.
AG-018,SCHED-006,GATE-003,3,Confirm pilot closure evidence,Check whether the evidence is enough to update GATE-003 or whether another pilot/change loop is required.,Gate Evidence Checklist EVID-011 through EVID-014; Launch Gates GATE-003,"Closure still requires recorded proof, not meeting sentiment.",Pilot closure evidence decision or next loop.,Journey Lead,Waiting for pilot run,15,No gate closure without evidence.
AG-019,SCHED-007,GATE-004,1,Confirm data-owner authority,Confirm who can approve replacement of synthetic examples with real local information.,Restricted Data Replacement Checklist; DEC-005; TASK-014,No restricted data is migrated from this agenda item.,Data-owner approval path or required changes.,Administration Lead,Pending session,20,Least-privilege locations only.
AG-020,SCHED-007,GATE-004,2,Confirm minimum necessary fields,"Review which real local fields are necessary and which can remain synthetic, blank or withheld.",Restricted checklist; privacy/data rules; Gate Evidence Checklist EVID-015 through EVID-017,"Do not add private details to shared agenda, schedule or output rows.",Minimum field list and withheld-data rationale.,Administration Lead,Pending session,20,Record output in OUT-007.
AG-021,SCHED-007,GATE-004,3,Route storage/access updates,Confirm where approved local data will live and which access group controls each location.,Data Replacement folder; Resource Library Index Access Groups,Can record storage plan only; migration requires approval.,Storage/access action list.,Knowledge Management Lead,Pending session,15,Keep restricted data out of public/prototype surfaces.
AG-022,SCHED-008,GATE-005,1,Review access options,"Compare leaders-only, partly public plus protected leader area, and public information plus authenticated operational tools.",Website Access Review; Website Access Model Decision Brief; DEC-004,No production sharing or publication decision from option review alone.,Preferred access model or questions.,Oversight Lead,Pending session,25,Record output in OUT-008 only after authority decision.
AG-023,SCHED-008,GATE-005,2,Confirm area-by-area access,"Review each website area and confirm public, protected, restricted or withheld treatment.",Website Access Review rows; prototype Access view,Can recommend access treatment; final approval belongs to authority.,Area access decisions or required changes.,Oversight Lead,Pending session,25,No Alpha assets copied.
AG-024,SCHED-008,GATE-005,3,Route website conditions,Capture conditions that must be resolved before production website build/publish can proceed.,Website Publication Gate Checklist; Gate Evidence Checklist EVID-018 through EVID-020,Conditions do not authorize production publishing.,Website access conditions and follow-up owners.,Knowledge Management Lead,Pending session,15,Keep production blocked until DEC-004 closes.
AG-025,SCHED-009,GATE-006,1,Confirm prerequisites complete,"Check access model, operating authority, content review and copyright boundaries before any production go/no-go conversation.",DEC-004; DEC-006; HR-005; HR-007; Event Readiness; publication checklist,Blocked until prerequisite approvals exist.,Prerequisite pass/fail list.,Knowledge Management Lead,Blocked,20,"Do not run while GATE-005, HR-005 or HR-007 are open."
AG-026,SCHED-009,GATE-006,2,Review publication risks,"Confirm content, copyright, access, data and operational risks that must be controlled before launch.",Website Publication Gate Checklist; Website Access Review; Human Review outcomes,Risk review cannot substitute for final authority approval.,Publication risk conditions.,Oversight Lead,Blocked,20,No production deployment from this prototype.
AG-027,SCHED-009,GATE-006,3,Record go/no-go output,"If prerequisites are approved, record production go, conditional go or no-go and the evidence link.",Leadership Review Outputs OUT-009; DEC-006; deployment record,Only authorized production publishing authority can approve launch.,Production go/no-go output.,Knowledge Management Lead,Blocked,15,Keep blocked until all prerequisite approvals are recorded.
